,gid,UF,nome,PIB,PIB_percapita
14,4548.0,SÃO PAULO,Itapeva,1120700.0,12484.40039062
21,4293.0,SÃO PAULO,Elisiário,52295.234375,15765.8203125
51,5045.0,SÃO PAULO,Guarujá,3429098.5,11131.33984375
65,4728.0,SÃO PAULO,Pedrinhas Paulista,75881.6875,25924.73046875
80,4850.0,SÃO PAULO,São Luís do Paraitinga,82827.171875,7593.25
93,4283.0,SÃO PAULO,Divinolândia,158577.421875,13980.20019531
111,4202.0,SÃO PAULO,Araraquara,4193535.25,20898.08984375
129,5051.0,SÃO PAULO,Itapevi,3638207.25,17671.41015625
140,4217.0,SÃO PAULO,Bastos,322317.3125,15075.65039062
141,4344.0,SÃO PAULO,Três Fronteiras,49727.08984375,9631.4296875
145,4187.0,SÃO PAULO,Américo Brasiliense,578886.875,17407.50976562
156,8.0,SÃO PAULO,Sertãozinho,4155643.5,37438.5703125
168,4795.0,SÃO PAULO,Sabino,71262.4765625,13148.05957031
169,4255.0,SÃO PAULO,Caraguatatuba,1147377.5,11936.30957031
191,4837.0,SÃO PAULO,Santo Expedito,27413.52148438,9273.86035156
195,4724.0,SÃO PAULO,Paulo de Faria,121381.28125,12826.9296875
201,4845.0,SÃO PAULO,São João do Pau d'Alho,36372.3046875,16600.77929688
202,4722.0,SÃO PAULO,Paulicéia,73761.8125,12737.3203125
207,4343.0,SÃO PAULO,Tremembé,393278.46875,9555.09960938
228,4624.0,SÃO PAULO,Leme,1338844.125,15044.04003906
229,4685.0,SÃO PAULO,Nova Europa,113681.1171875,11264.48046875
234,4843.0,SÃO PAULO,São João das Duas Pontes,31190.76757812,11859.61035156
235,4798.0,SÃO PAULO,Promissão,771585.3125,20537.26953125
241,4689.0,SÃO PAULO,Novais,37936.8671875,9546.26953125
257,4823.0,SÃO PAULO,Santo Anastácio,225050.078125,10604.5703125
260,3782.0,SÃO PAULO,Guzolândia,45986.609375,9352.5703125
276,4731.0,SÃO PAULO,Pereiras,143394.953125,17755.68945312
294,4740.0,SÃO PAULO,Piraju,347479.03125,11819.8203125
320,4280.0,SÃO PAULO,Cunha,127499.703125,5371.79980469
327,1918.0,SÃO PAULO,Valinhos,3042457.0,28306.9296875
329,4308.0,SÃO PAULO,Florínia,97524.5234375,34147.23828125
339,4302.0,SÃO PAULO,Fernandópolis,978006.125,15392.21972656
340,4790.0,SÃO PAULO,Riolândia,100229.5703125,9507.63964844
370,5061.0,SÃO PAULO,Mauá,6574846.5,15749.71972656
382,5095.0,SÃO PAULO,Várzea Paulista,1421194.0,13256.04980469
386,4785.0,SÃO PAULO,Riversul,43661.6171875,6696.56982422
397,4422.0,SÃO PAULO,Alto Alegre,38369.390625,8992.12011719
407,5032.0,SÃO PAULO,Bragança Paulista,2389078.25,16375.44042969
418,5094.0,SÃO PAULO,Vargem Grande Paulista,632840.3125,14140.41992188
419,4258.0,SÃO PAULO,Cássia dos Coqueiros,39400.171875,14395.38964844
452,33.0,SÃO PAULO,Ribeirão Preto,14688064.0,26083.97070312
471,4888.0,SÃO PAULO,Timburi,29524.6484375,11587.37988281
474,4365.0,SÃO PAULO,Vitória Brasil,17446.89453125,10497.53027344
495,4765.0,SÃO PAULO,Presidente Venceslau,432351.59375,11247.73046875
498,5093.0,SÃO PAULO,Vargem,60099.21484375,8467.05957031
517,4573.0,SÃO PAULO,Itararé,550863.0625,10714.6796875
523,4235.0,SÃO PAULO,Buritizal,245243.796875,59873.96875
526,4351.0,SÃO PAULO,Ubatuba,843726.0625,10404.04003906
531,4639.0,SÃO PAULO,Macedônia,37272.37109375,10985.08007812
533,4294.0,SÃO PAULO,Emilianópolis,31979.79492188,10043.91015625
535,4965.0,SÃO PAULO,Hortolândia,4855737.5,23588.02929688
549,4656.0,SÃO PAULO,Miracatu,169384.6875,7116.70019531
565,4286.0,SÃO PAULO,Dolcinópolis,21796.19726562,9593.40039062
572,4623.0,SÃO PAULO,Lavrinhas,58571.69140625,8364.99023438
576,5086.0,SÃO PAULO,Santos,22546134.0,54054.76171875
579,4543.0,SÃO PAULO,Itaí,343309.71875,14249.36035156
585,3788.0,SÃO PAULO,Ibaté,349127.375,11749.58984375
595,4711.0,SÃO PAULO,Panorama,123048.6171875,8441.29003906
596,689.0,SÃO PAULO,Águas de Santa Bárbara,101069.890625,18009.59960938
601,4215.0,SÃO PAULO,Barra do Chapéu,33205.44921875,6197.35986328
631,5055.0,SÃO PAULO,Jandira,1409889.375,12573.70019531
641,4848.0,SÃO PAULO,São José do Barreiro,31528.9453125,7022.04003906
642,5082.0,SÃO PAULO,Rio Grande da Serra,421630.78125,10134.87011719
647,4424.0,SÃO PAULO,Areiópolis,88476.9921875,7930.18017578
671,4647.0,SÃO PAULO,Marinópolis,26659.51367188,12353.80957031
682,4661.0,SÃO PAULO,Mococa,1053969.625,15337.61035156
703,4233.0,SÃO PAULO,Buri,246487.109375,13583.54980469
714,5057.0,SÃO PAULO,Joanópolis,133914.796875,11989.86035156
718,4762.0,SÃO PAULO,Presidente Bernardes,147201.09375,9569.70019531
728,4194.0,SÃO PAULO,Anhumas,37064.9296875,9390.66015625
734,4230.0,SÃO PAULO,Braúna,40781.84375,8086.81982422
746,4809.0,SÃO PAULO,Santa Cruz da Esperança,31603.69140625,18236.41015625
770,4702.0,SÃO PAULO,Ouroeste,565069.375,74370.8125
787,1839.0,SÃO PAULO,Monte Mor,1123404.75,24086.2109375
808,4839.0,SÃO PAULO,São Bento do Sapucaí,91414.5625,8336.1796875
831,4626.0,SÃO PAULO,Limeira,5752286.0,20428.38085938
835,4863.0,SÃO PAULO,Socorro,400702.0625,11632.41992188
847,4788.0,SÃO PAULO,Rio Claro,4522812.5,23570.31054688
853,4226.0,SÃO PAULO,Bofete,116283.3046875,12403.54980469
855,3542.0,SÃO PAULO,PINHALZINHO,112249.3671875,8915.04980469
860,4346.0,SÃO PAULO,Tupã,926208.5,14449.87988281
865,4262.0,SÃO PAULO,Cerqueira César,242703.625,13999.16992188
873,4279.0,SÃO PAULO,Cruzeiro,1022254.625,12785.05957031
876,4803.0,SÃO PAULO,Sandovalina,224719.375,66347.6171875
877,4301.0,SÃO PAULO,Fartura,162512.703125,10856.62011719
886,4744.0,SÃO PAULO,Pirassununga,1306196.375,18276.15039062
891,4622.0,SÃO PAULO,Lavínia,98269.296875,10404.37011719
901,4725.0,SÃO PAULO,Pedra Bela,52908.13671875,8614.15039062
902,4229.0,SÃO PAULO,Botucatu,2317107.75,17776.3203125
906,5044.0,SÃO PAULO,Guararema,429408.71875,15919.36035156
908,4305.0,SÃO PAULO,Flora Rica,31833.52148438,15689.26953125
912,4825.0,SÃO PAULO,Santo Antônio de Posse,314125.59375,14784.46972656
917,4633.0,SÃO PAULO,Lucianópolis,27770.9140625,11367.54980469
923,4806.0,SÃO PAULO,Santa Bárbara d'Oeste,3115531.0,16434.47070312
948,4576.0,SÃO PAULO,Itirapina,170254.15625,11481.16015625
964,3775.0,SÃO PAULO,Guaraçaí,96547.890625,11152.58007812
970,683.0,SÃO PAULO,Luís Antônio,613366.0,51439.62109375
981,1679.0,SÃO PAULO,São Bernardo do Campo,28935768.0,35680.05078125
990,4826.0,SÃO PAULO,Santo Antônio do Aracanguá,191874.171875,26158.72070312
997,4887.0,SÃO PAULO,Tietê,785465.8125,21691.359375
1002,4189.0,SÃO PAULO,Amparo,1783702.875,27055.3203125
1003,5077.0,SÃO PAULO,Piracaia,241701.421875,10628.91015625
1017,4532.0,SÃO PAULO,Indiana,37543.671875,7902.27001953
1029,1613.0,SÃO PAULO,Santo André,14709603.0,21843.91015625
1049,4270.0,SÃO PAULO,Conchas,207561.140625,12754.16015625
1052,4801.0,SÃO PAULO,Salto,2186612.0,19887.68945312
1057,4796.0,SÃO PAULO,Sagres,24909.50976562,10654.20019531
1062,4649.0,SÃO PAULO,Matão,5187325.0,66315.421875
1085,4794.0,SÃO PAULO,Rubinéia,32480.0859375,12439.70996094
1088,4307.0,SÃO PAULO,Flórida Paulista,150708.21875,10951.83984375
1092,130.0,SÃO PAULO,São José do Rio Preto,7879047.5,18776.08984375
1122,4849.0,SÃO PAULO,São José do Rio Pardo,1017558.25,19097.9609375
1123,4352.0,SÃO PAULO,Ubirajara,45077.65625,10079.98046875
1127,4241.0,SÃO PAULO,Caiuá,101315.828125,18600.30078125
1132,4523.0,SÃO PAULO,Ibitinga,711619.875,13389.40039062
1154,4786.0,SÃO PAULO,Rifaina,35500.32421875,9278.70996094
1159,4630.0,SÃO PAULO,Lourdes,24232.84960938,11925.62011719
1184,4341.0,SÃO PAULO,Torrinha,89145.484375,9608.26953125
1192,4357.0,SÃO PAULO,Urupês,157686.28125,12728.95019531
1196,2085.0,SÃO PAULO,Alumínio,1693931.125,103118.7109375
1204,4816.0,SÃO PAULO,Santa Maria da Serra,72653.828125,12272.61035156
1222,4246.0,SÃO PAULO,Campos Novos Paulista,83582.3515625,16669.7890625
1226,4696.0,SÃO PAULO,Oriente,53553.72265625,8391.37011719
1227,5125.0,SÃO PAULO,Arujá,1529719.875,18903.63085938
1242,4275.0,SÃO PAULO,Cosmópolis,804188.75,13562.04980469
1244,4874.0,SÃO PAULO,Tapiraí,69275.9609375,8669.25
1245,4966.0,SÃO PAULO,Paulínia,7779836.5,91985.25
1247,4808.0,SÃO PAULO,Santa Cruz da Conceição,56048.78125,13492.73046875
1250,4701.0,SÃO PAULO,Ourinhos,1470158.625,14062.84960938
1253,4591.0,SÃO PAULO,Junqueirópolis,218303.9375,10928.30957031
1272,4879.0,SÃO PAULO,Taquarivaí,92248.1015625,16648.27929688
1292,3774.0,SÃO PAULO,Guará,250581.265625,13072.90039062
1296,5049.0,SÃO PAULO,Itanhaém,824090.75,9435.65039062
1302,4358.0,SÃO PAULO,Valentim Gentil,152630.0625,15138.87011719
1307,4682.0,SÃO PAULO,Alambari,64996.13671875,14802.12988281
1310,4868.0,SÃO PAULO,Taciba,258140.546875,45487.3203125
1312,4295.0,SÃO PAULO,Engenheiro Coelho,219832.53125,15372.90039062
1314,4715.0,SÃO PAULO,Paranapanema,291595.78125,16426.08007812
1323,4571.0,SÃO PAULO,Itapuí,211197.859375,16847.31054688
1356,4364.0,SÃO PAULO,Vista Alegre do Alto,144300.53125,20992.22070312
1375,4271.0,SÃO PAULO,Cordeirópolis,1366099.25,65931.4296875
1387,4178.0,SÃO PAULO,Águas de São Pedro,50880.55078125,19472.08007812
1388,4666.0,SÃO PAULO,Monte Alegre do Sul,93054.9453125,12452.15039062
1399,4366.0,SÃO PAULO,Votuporanga,1138017.0,14001.37011719
1434,4709.0,SÃO PAULO,Palmeira d'Oeste,108116.234375,11139.11035156
1461,5068.0,SÃO PAULO,Pederneiras,624309.8125,14436.58007812
1469,5038.0,SÃO PAULO,Cotia,5427421.5,29813.63085938
1492,4203.0,SÃO PAULO,Araras,2407399.25,21022.5703125
1498,4878.0,SÃO PAULO,Taquarituba,253338.09375,10986.04003906
1499,4810.0,SÃO PAULO,Santa Cruz das Palmeiras,255420.546875,7605.64990234
1500,4688.0,SÃO PAULO,Nova Independência,210455.484375,76752.546875
1502,4881.0,SÃO PAULO,Tarumã,320347.21875,23931.50976562
1513,3765.0,SÃO PAULO,Gastão Vidigal,37278.69921875,9052.62011719
1516,4650.0,SÃO PAULO,Mendonça,48696.28515625,11547.61035156
1518,5066.0,SÃO PAULO,Pedro de Toledo,70778.8984375,6902.56005859
1524,4805.0,SÃO PAULO,Santa Albertina,56413.41796875,11300.75976562
1533,684.0,SÃO PAULO,Adamantina,531913.5,15451.8203125
1536,4748.0,SÃO PAULO,Platina,49894.515625,14644.70996094
1540,4528.0,SÃO PAULO,Iguape,252515.78125,8231.96972656
1554,4268.0,SÃO PAULO,Colômbia,144238.203125,22732.58007812
1557,4774.0,SÃO PAULO,Redenção da Serra,36065.66015625,8496.03027344
1561,4750.0,SÃO PAULO,Pompéia,465391.53125,23075.74023438
1569,4269.0,SÃO PAULO,Conchal,369008.0625,15070.78027344
1571,4183.0,SÃO PAULO,Álvares Machado,199326.484375,8382.45996094
1580,4812.0,SÃO PAULO,Santa Ernestina,43545.33984375,7751.04003906
1583,4827.0,SÃO PAULO,Santo Antônio do Jardim,78237.4609375,13524.19042969
1586,4638.0,SÃO PAULO,Macaubal,84924.5390625,11069.41015625
1603,4360.0,SÃO PAULO,Vargem Grande do Sul,435658.78125,11125.09960938
1604,4644.0,SÃO PAULO,Marapoama,81859.9609375,29446.02929688
1616,4883.0,SÃO PAULO,Taubaté,8324691.0,30445.859375
1617,4672.0,SÃO PAULO,Motuca,68719.6796875,14649.25976562
1618,5089.0,SÃO PAULO,São Sebastião,3043796.25,41338.51171875
1628,4698.0,SÃO PAULO,Orlândia,787616.25,20984.08007812
